#syntaxMethod	owner	method	importPath
cats/FunctorFilter.Ops#mapFilter().	cats/FunctorFilter#mapFilter().	cats/FunctorFilter#mapFilter().	cats.syntax.functorFilter.*
cats/Invariant.Ops#imap().	cats/Invariant#imap().	cats/Invariant#imap().	cats.syntax.invariant.*
cats/Monad.Ops#iterateUntil().	cats/Monad#iterateUntil().	cats/Monad#iterateUntil().	cats.syntax.monad.*
cats/Monad.Ops#iterateWhile().	cats/Monad#iterateWhile().	cats/Monad#iterateWhile().	cats.syntax.monad.*
cats/Monad.Ops#untilM().	cats/Monad#untilM().	cats/Monad#untilM().	cats.syntax.monad.*
cats/Monad.Ops#untilM_().	cats/Monad#untilM_().	cats/Monad#untilM_().	cats.syntax.monad.*
cats/NonEmptyAlternative.Ops#appendK().	cats/NonEmptyAlternative#appendK().	cats/NonEmptyAlternative#appendK().	cats.syntax.nonEmptyAlternative.*
cats/NonEmptyAlternative.Ops#prependK().	cats/NonEmptyAlternative#prependK().	cats/NonEmptyAlternative#prependK().	cats.syntax.nonEmptyAlternative.*
cats/NonEmptyTraverse.Ops#nonEmptyFlatSequence().	cats/NonEmptyTraverse#nonEmptyFlatSequence().	cats/NonEmptyTraverse#nonEmptyFlatSequence().	cats.syntax.nonEmptyTraverse.*
cats/NonEmptyTraverse.Ops#nonEmptyFlatTraverse().	cats/NonEmptyTraverse#nonEmptyFlatTraverse().	cats/NonEmptyTraverse#nonEmptyFlatTraverse().	cats.syntax.nonEmptyTraverse.*
cats/NonEmptyTraverse.Ops#nonEmptySequence().	cats/NonEmptyTraverse#nonEmptySequence().	cats/NonEmptyTraverse#nonEmptySequence().	cats.syntax.nonEmptyTraverse.*
cats/NonEmptyTraverse.Ops#nonEmptyTraverse().	cats/NonEmptyTraverse#nonEmptyTraverse().	cats/NonEmptyTraverse#nonEmptyTraverse().	cats.syntax.nonEmptyTraverse.*
cats/Reducible.Ops#maximum().	cats/Reducible#maximum().	cats/Reducible#maximum().	cats.syntax.reducible.*
cats/Reducible.Ops#maximumBy().	cats/Reducible#maximumBy().	cats/Reducible#maximumBy().	cats.syntax.reducible.*
cats/Reducible.Ops#maximumByNel().	cats/Reducible#maximumByNel().	cats/Reducible#maximumByNel().	cats.syntax.reducible.*
cats/Reducible.Ops#maximumNel().	cats/Reducible#maximumNel().	cats/Reducible#maximumNel().	cats.syntax.reducible.*
cats/Reducible.Ops#minimum().	cats/Reducible#minimum().	cats/Reducible#minimum().	cats.syntax.reducible.*
cats/Reducible.Ops#minimumBy().	cats/Reducible#minimumBy().	cats/Reducible#minimumBy().	cats.syntax.reducible.*
cats/Reducible.Ops#minimumByNel().	cats/Reducible#minimumByNel().	cats/Reducible#minimumByNel().	cats.syntax.reducible.*
cats/Reducible.Ops#minimumNel().	cats/Reducible#minimumNel().	cats/Reducible#minimumNel().	cats.syntax.reducible.*
cats/Reducible.Ops#nonEmptyIntercalate().	cats/Reducible#nonEmptyIntercalate().	cats/Reducible#nonEmptyIntercalate().	cats.syntax.reducible.*
cats/Reducible.Ops#nonEmptyPartition().	cats/Reducible#nonEmptyPartition().	cats/Reducible#nonEmptyPartition().	cats.syntax.reducible.*
cats/Reducible.Ops#nonEmptySequenceVoid().	cats/Reducible#nonEmptySequenceVoid().	cats/Reducible#nonEmptySequenceVoid().	cats.syntax.reducible.*
cats/Reducible.Ops#nonEmptySequence_().	cats/Reducible#nonEmptySequence_().	cats/Reducible#nonEmptySequence_().	cats.syntax.reducible.*
cats/Reducible.Ops#nonEmptyTraverseVoid().	cats/Reducible#nonEmptyTraverseVoid().	cats/Reducible#nonEmptyTraverseVoid().	cats.syntax.reducible.*
cats/Reducible.Ops#nonEmptyTraverse_().	cats/Reducible#nonEmptyTraverse_().	cats/Reducible#nonEmptyTraverse_().	cats.syntax.reducible.*
cats/Reducible.Ops#reduce().	cats/Reducible#reduce().	cats/Reducible#reduce().	cats.syntax.reducible.*
cats/Reducible.Ops#reduceK().	cats/Reducible#reduceK().	cats/Reducible#reduceK().	cats.syntax.reducible.*
cats/Reducible.Ops#reduceLeft().	cats/Reducible#reduceLeft().	cats/Reducible#reduceLeft().	cats.syntax.reducible.*
cats/Reducible.Ops#reduceLeftM().	cats/Reducible#reduceLeftM().	cats/Reducible#reduceLeftM().	cats.syntax.reducible.*
cats/Reducible.Ops#reduceLeftTo().	cats/Reducible#reduceLeftTo().	cats/Reducible#reduceLeftTo().	cats.syntax.reducible.*
cats/Reducible.Ops#reduceMap().	cats/Reducible#reduceMap().	cats/Reducible#reduceMap().	cats.syntax.reducible.*
cats/Reducible.Ops#reduceMapA().	cats/Reducible#reduceMapA().	cats/Reducible#reduceMapA().	cats.syntax.reducible.*
cats/Reducible.Ops#reduceMapM().	cats/Reducible#reduceMapM().	cats/Reducible#reduceMapM().	cats.syntax.reducible.*
cats/Reducible.Ops#reduceRight().	cats/Reducible#reduceRight().	cats/Reducible#reduceRight().	cats.syntax.reducible.*
cats/Reducible.Ops#reduceRightTo().	cats/Reducible#reduceRightTo().	cats/Reducible#reduceRightTo().	cats.syntax.reducible.*
cats/Reducible.Ops#toNonEmptyList().	cats/Reducible#toNonEmptyList().	cats/Reducible#toNonEmptyList().	cats.syntax.reducible.*
cats/Semigroupal.Ops#product().	cats/Semigroupal#product().	cats/Semigroupal#product().	cats.syntax.semigroupal.*
cats/Traverse.Ops#flatSequence().	cats/Traverse#flatSequence().	cats/Traverse#flatSequence().	cats.syntax.traverse.*
cats/Traverse.Ops#flatTraverse().	cats/Traverse#flatTraverse().	cats/Traverse#flatTraverse().	cats.syntax.traverse.*
cats/Traverse.Ops#mapAccumulate().	cats/Traverse#mapAccumulate().	cats/Traverse#mapAccumulate().	cats.syntax.traverse.*
cats/Traverse.Ops#mapWithIndex().	cats/Traverse#mapWithIndex().	cats/Traverse#mapWithIndex().	cats.syntax.traverse.*
cats/Traverse.Ops#mapWithLongIndex().	cats/Traverse#mapWithLongIndex().	cats/Traverse#mapWithLongIndex().	cats.syntax.traverse.*
cats/Traverse.Ops#sequence().	cats/Traverse#sequence().	cats/Traverse#sequence().	cats.syntax.traverse.*
cats/Traverse.Ops#traverse().	cats/Traverse#traverse().	cats/Traverse#traverse().	cats.syntax.traverse.*
cats/Traverse.Ops#traverseTap().	cats/Traverse#traverseTap().	cats/Traverse#traverseTap().	cats.syntax.traverse.*
cats/Traverse.Ops#traverseWithIndexM().	cats/Traverse#traverseWithIndexM().	cats/Traverse#traverseWithIndexM().	cats.syntax.traverse.*
cats/Traverse.Ops#traverseWithLongIndexM().	cats/Traverse#traverseWithLongIndexM().	cats/Traverse#traverseWithLongIndexM().	cats.syntax.traverse.*
cats/Traverse.Ops#updated_().	cats/Traverse#updated_().	cats/Traverse#updated_().	cats.syntax.traverse.*
cats/Traverse.Ops#zipWithIndex().	cats/Traverse#zipWithIndex().	cats/Traverse#zipWithIndex().	cats.syntax.traverse.*
cats/Traverse.Ops#zipWithLongIndex().	cats/Traverse#zipWithLongIndex().	cats/Traverse#zipWithLongIndex().	cats.syntax.traverse.*
cats/TraverseFilter.Ops#filterA().	cats/TraverseFilter#filterA().	cats/TraverseFilter#filterA().	cats.syntax.traverseFilter.*
cats/TraverseFilter.Ops#hashDistinct().	cats/TraverseFilter#hashDistinct().	cats/TraverseFilter#hashDistinct().	cats.syntax.traverseFilter.*
cats/TraverseFilter.Ops#ordDistinct().	cats/TraverseFilter#ordDistinct().	cats/TraverseFilter#ordDistinct().	cats.syntax.traverseFilter.*
cats/TraverseFilter.Ops#traverseEither().	cats/TraverseFilter#traverseEither().	cats/TraverseFilter#traverseEither().	cats.syntax.traverseFilter.*
cats/TraverseFilter.Ops#traverseFilter().	cats/TraverseFilter#traverseFilter().	cats/TraverseFilter#traverseFilter().	cats.syntax.traverseFilter.*
cats/UnorderedFoldable.Ops#exists().	cats/UnorderedFoldable#exists().	cats/UnorderedFoldable#exists().	cats.syntax.unorderedFoldable.*
cats/UnorderedFoldable.Ops#forall().	cats/UnorderedFoldable#forall().	cats/UnorderedFoldable#forall().	cats.syntax.unorderedFoldable.*
cats/UnorderedFoldable.Ops#isEmpty().	cats/UnorderedFoldable#isEmpty().	cats/UnorderedFoldable#isEmpty().	cats.syntax.unorderedFoldable.*
cats/UnorderedFoldable.Ops#nonEmpty().	cats/UnorderedFoldable#nonEmpty().	cats/UnorderedFoldable#nonEmpty().	cats.syntax.unorderedFoldable.*
cats/UnorderedFoldable.Ops#size().	cats/UnorderedFoldable#size().	cats/UnorderedFoldable#size().	cats.syntax.unorderedFoldable.*
cats/UnorderedFoldable.Ops#unorderedFold().	cats/UnorderedFoldable#unorderedFold().	cats/UnorderedFoldable#unorderedFold().	cats.syntax.unorderedFoldable.*
cats/UnorderedFoldable.Ops#unorderedFoldMap().	cats/UnorderedFoldable#unorderedFoldMap().	cats/UnorderedFoldable#unorderedFoldMap().	cats.syntax.unorderedFoldable.*
cats/UnorderedFoldable.Ops#unorderedFoldMapA().	cats/UnorderedFoldable#unorderedFoldMapA().	cats/UnorderedFoldable#unorderedFoldMapA().	cats.syntax.unorderedFoldable.*
cats/UnorderedTraverse.Ops#unorderedSequence().	cats/UnorderedTraverse#unorderedSequence().	cats/UnorderedTraverse#unorderedSequence().	cats.syntax.unorderedTraverse.*
cats/UnorderedTraverse.Ops#unorderedTraverse().	cats/UnorderedTraverse#unorderedTraverse().	cats/UnorderedTraverse#unorderedTraverse().	cats.syntax.unorderedTraverse.*
cats/syntax/ApplicativeByNameOps#unlessA().	cats/Applicative#unlessA().	cats/Applicative#unlessA().	cats.syntax.applicative.*
cats/syntax/ApplicativeByNameOps#whenA().	cats/Applicative#whenA().	cats/Applicative#whenA().	cats.syntax.applicative.*
cats/syntax/ApplicativeByValueOps#replicateA().	cats/Applicative#replicateA().	cats/Applicative#replicateA().	cats.syntax.applicative.*
cats/syntax/ApplicativeByValueOps#replicateA_().	cats/Applicative#replicateA_().	cats/Applicative#replicateA_().	cats.syntax.applicative.*
cats/syntax/ApplicativeErrorExtensionOps#fromOption().	cats/ApplicativeError#fromOption().	cats/ApplicativeError#fromOption().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorExtensionOps#fromValidated().	cats/ApplicativeError#fromValidated().	cats/ApplicativeError#fromValidated().	cats.syntax.applicativeError.*
cats/syntax/ApplicativeErrorFUnitOps#voidError().	cats/ApplicativeError#voidError().	cats/ApplicativeError#voidError().	cats.syntax.applicativeError.*
